class,top_left_x,top_left_y,w,h,img_size_x,img_size_y,name,date,takes,path
triton,1309,304,90,177,1920,1080,2017-03-23T04:55:28.jpg,2017-03-23 04:55:28,5532,camera_04_unnested/2017-03-23T04:55:28.jpg
triton,1312,309,56,87,1920,1080,2017-03-23T04:55:29.jpg,2017-03-23 04:55:29,5532,camera_04_unnested/2017-03-23T04:55:29.jpg
triton,1326,312,39,82,1920,1080,2017-03-23T04:55:30.jpg,2017-03-23 04:55:30,5532,camera_04_unnested/2017-03-23T04:55:30.jpg
triton,1329,301,37,96,1920,1080,2017-03-23T04:55:31.jpg,2017-03-23 04:55:31,5532,camera_04_unnested/2017-03-23T04:55:31.jpg
grenouille,957,228,214,172,1920,1080,2017-03-23T00:22:43.jpg,2017-03-23 00:22:43,2440,camera_05_unnested/2017-03-23T00:22:43.jpg
grenouille,946,228,259,166,1920,1080,2017-03-23T00:22:44.jpg,2017-03-23 00:22:44,2440,camera_05_unnested/2017-03-23T00:22:44.jpg
grenouille,935,225,253,180,1920,1080,2017-03-23T00:22:45.jpg,2017-03-23 00:22:45,2440,camera_05_unnested/2017-03-23T00:22:45.jpg
grenouille,974,244,186,194,1920,1080,2017-03-23T00:22:46.jpg,2017-03-23 00:22:46,2440,camera_05_unnested/2017-03-23T00:22:46.jpg
grenouille,887,180,335,222,1920,1080,2017-03-23T00:22:47.jpg,2017-03-23 00:22:47,2440,camera_05_unnested/2017-03-23T00:22:47.jpg
grenouille,1090,717,253,234,1920,1080,2017-03-23T00:22:48.jpg,2017-03-23 00:22:48,2440,camera_05_unnested/2017-03-23T00:22:48.jpg
triton,653,360,87,180,1920,1080,2017-03-15T23:06:17.jpg,2017-03-15 23:06:17,1358,camera_06_unnested/2017-03-15T23:06:17.jpg
triton,667,337,70,189,1920,1080,2017-03-15T23:06:18.jpg,2017-03-15 23:06:18,1358,camera_06_unnested/2017-03-15T23:06:18.jpg
triton,667,326,82,175,1920,1080,2017-03-15T23:06:19.jpg,2017-03-15 23:06:19,1358,camera_06_unnested/2017-03-15T23:06:19.jpg
triton,659,320,96,169,1920,1080,2017-03-15T23:06:20.jpg,2017-03-15 23:06:20,1358,camera_06_unnested/2017-03-15T23:06:20.jpg
triton,676,318,76,166,1920,1080,2017-03-15T23:06:21.jpg,2017-03-15 23:06:21,1358,camera_06_unnested/2017-03-15T23:06:21.jpg
triton,678,301,65,186,1920,1080,2017-03-15T23:06:22.jpg,2017-03-15 23:06:22,1358,camera_06_unnested/2017-03-15T23:06:22.jpg
triton,676,292,101,158,1920,1080,2017-03-15T23:06:23.jpg,2017-03-15 23:06:23,1358,camera_06_unnested/2017-03-15T23:06:23.jpg
triton,690,267,76,149,1920,1080,2017-03-15T23:06:24.jpg,2017-03-15 23:06:24,1358,camera_06_unnested/2017-03-15T23:06:24.jpg
triton,690,261,82,177,1920,1080,2017-03-15T23:06:25.jpg,2017-03-15 23:06:25,1358,camera_06_unnested/2017-03-15T23:06:25.jpg
triton,701,244,56,163,1920,1080,2017-03-15T23:06:26.jpg,2017-03-15 23:06:26,1358,camera_06_unnested/2017-03-15T23:06:26.jpg
triton,681,244,90,149,1920,1080,2017-03-15T23:06:27.jpg,2017-03-15 23:06:27,1358,camera_06_unnested/2017-03-15T23:06:27.jpg
souris,610,282,108,182,1920,1080,2017-04-01T19:45:41.jpg,2017-04-01 19:45:41,4611,camera_15_unnested/2017-04-01T19:45:41.jpg
grenouille,636,242,217,242,1920,1080,2017-03-12T19:14:09.jpg,2017-03-12 19:14:09,4020,camera_04_unnested/2017-03-12T19:14:09.jpg
grenouille,653,326,256,172,1920,1080,2017-03-12T19:14:10.jpg,2017-03-12 19:14:10,4020,camera_04_unnested/2017-03-12T19:14:10.jpg
grenouille,633,315,279,183,1920,1080,2017-03-12T19:14:11.jpg,2017-03-12 19:14:11,4020,camera_04_unnested/2017-03-12T19:14:11.jpg
grenouille,684,332,191,175,1920,1080,2017-03-12T19:14:12.jpg,2017-03-12 19:14:12,4020,camera_04_unnested/2017-03-12T19:14:12.jpg
grenouille,693,337,175,160,1920,1080,2017-03-12T19:14:13.jpg,2017-03-12 19:14:13,4020,camera_04_unnested/2017-03-12T19:14:13.jpg
grenouille,673,340,206,166,1920,1080,2017-03-12T19:14:14.jpg,2017-03-12 19:14:14,4020,camera_04_unnested/2017-03-12T19:14:14.jpg
grenouille,659,312,214,175,1920,1080,2017-03-12T19:14:15.jpg,2017-03-12 19:14:15,4020,camera_04_unnested/2017-03-12T19:14:15.jpg
grenouille,664,334,225,166,1920,1080,2017-03-12T19:14:16.jpg,2017-03-12 19:14:16,4020,camera_04_unnested/2017-03-12T19:14:16.jpg
grenouille,707,329,166,206,1920,1080,2017-03-12T19:14:17.jpg,2017-03-12 19:14:17,4020,camera_04_unnested/2017-03-12T19:14:17.jpg
grenouille,662,337,231,175,1920,1080,2017-03-12T19:17:15.jpg,2017-03-12 19:17:15,4021,camera_04_unnested/2017-03-12T19:17:15.jpg
grenouille,670,349,177,239,1920,1080,2017-03-12T19:17:16.jpg,2017-03-12 19:17:16,4021,camera_04_unnested/2017-03-12T19:17:16.jpg
grenouille,619,360,208,335,1920,1080,2017-03-12T19:17:17.jpg,2017-03-12 19:17:17,4021,camera_04_unnested/2017-03-12T19:17:17.jpg
grenouille,600,425,228,358,1920,1080,2017-03-12T19:17:18.jpg,2017-03-12 19:17:18,4021,camera_04_unnested/2017-03-12T19:17:18.jpg
grenouille,591,484,259,324,1920,1080,2017-03-12T19:17:19.jpg,2017-03-12 19:17:19,4021,camera_04_unnested/2017-03-12T19:17:19.jpg
grenouille,549,540,234,301,1920,1080,2017-03-12T19:17:20.jpg,2017-03-12 19:17:20,4021,camera_04_unnested/2017-03-12T19:17:20.jpg
grenouille,518,650,262,290,1920,1080,2017-03-12T19:17:21.jpg,2017-03-12 19:17:21,4021,camera_04_unnested/2017-03-12T19:17:21.jpg
grenouille,495,667,296,312,1920,1080,2017-03-12T19:17:22.jpg,2017-03-12 19:17:22,4021,camera_04_unnested/2017-03-12T19:17:22.jpg
grenouille,512,706,211,296,1920,1080,2017-03-12T19:17:23.jpg,2017-03-12 19:17:23,4021,camera_04_unnested/2017-03-12T19:17:23.jpg
grenouille,541,788,163,186,1920,1080,2017-03-12T19:17:24.jpg,2017-03-12 19:17:24,4021,camera_04_unnested/2017-03-12T19:17:24.jpg
feuille,1084,526,214,163,1920,1080,2017-04-06T13:03:52.jpg,2017-04-06 13:03:52,4601,camera_11_unnested/2017-04-06T13:03:52.jpg
feuille,434,256,73,70,1920,1080,2017-04-06T13:03:52.jpg,2017-04-06 13:03:52,4601,camera_11_unnested/2017-04-06T13:03:52.jpg
feuille,980,503,73,118,1920,1080,2017-04-06T13:03:52.jpg,2017-04-06 13:03:52,4601,camera_11_unnested/2017-04-06T13:03:52.jpg
feuille,434,258,82,73,1920,1080,2017-04-06T13:03:53.jpg,2017-04-06 13:03:53,4601,camera_11_unnested/2017-04-06T13:03:53.jpg
feuille,977,501,87,144,1920,1080,2017-04-06T13:03:53.jpg,2017-04-06 13:03:53,4601,camera_11_unnested/2017-04-06T13:03:53.jpg
feuille,436,261,76,62,1920,1080,2017-04-06T13:03:54.jpg,2017-04-06 13:03:54,4601,camera_11_unnested/2017-04-06T13:03:54.jpg
feuille,971,509,84,127,1920,1080,2017-04-06T13:03:54.jpg,2017-04-06 13:03:54,4601,camera_11_unnested/2017-04-06T13:03:54.jpg
feuille,442,264,70,59,1920,1080,2017-04-06T13:03:55.jpg,2017-04-06 13:03:55,4601,camera_11_unnested/2017-04-06T13:03:55.jpg
feuille,971,509,84,118,1920,1080,2017-04-06T13:03:55.jpg,2017-04-06 13:03:55,4601,camera_11_unnested/2017-04-06T13:03:55.jpg
feuille,436,250,62,76,1920,1080,2017-04-06T13:09:50.jpg,2017-04-06 13:09:50,4602,camera_11_unnested/2017-04-06T13:09:50.jpg
feuille,974,506,84,127,1920,1080,2017-04-06T13:09:50.jpg,2017-04-06 13:09:50,4602,camera_11_unnested/2017-04-06T13:09:50.jpg
feuille,431,264,93,70,1920,1080,2017-04-06T13:09:51.jpg,2017-04-06 13:09:51,4602,camera_11_unnested/2017-04-06T13:09:51.jpg
feuille,968,498,90,132,1920,1080,2017-04-06T13:09:51.jpg,2017-04-06 13:09:51,4602,camera_11_unnested/2017-04-06T13:09:51.jpg
feuille,1571,492,73,93,1920,1080,2017-04-06T13:09:58.jpg,2017-04-06 13:09:58,4603,camera_11_unnested/2017-04-06T13:09:58.jpg
feuille,194,304,37,70,1920,1080,2017-04-06T13:09:59.jpg,2017-04-06 13:09:59,4603,camera_11_unnested/2017-04-06T13:09:59.jpg
feuille,163,289,79,96,1920,1080,2017-04-06T13:10:00.jpg,2017-04-06 13:10:00,4603,camera_11_unnested/2017-04-06T13:10:00.jpg
feuille,932,489,124,101,1920,1080,2017-04-06T13:10:01.jpg,2017-04-06 13:10:01,4603,camera_11_unnested/2017-04-06T13:10:01.jpg
feuille,234,399,59,79,1920,1080,2017-04-06T13:10:08.jpg,2017-04-06 13:10:08,4603,camera_11_unnested/2017-04-06T13:10:08.jpg
feuille,222,399,62,62,1920,1080,2017-04-06T13:10:09.jpg,2017-04-06 13:10:09,4603,camera_11_unnested/2017-04-06T13:10:09.jpg
feuille,234,394,62,73,1920,1080,2017-04-06T13:10:10.jpg,2017-04-06 13:10:10,4603,camera_11_unnested/2017-04-06T13:10:10.jpg
feuille,208,453,65,62,1920,1080,2017-04-06T13:10:17.jpg,2017-04-06 13:10:17,4604,camera_11_unnested/2017-04-06T13:10:17.jpg
feuille,436,256,82,84,1920,1080,2017-04-06T13:10:20.jpg,2017-04-06 13:10:20,4604,camera_11_unnested/2017-04-06T13:10:20.jpg
feuille,428,270,96,59,1920,1080,2017-04-06T13:10:21.jpg,2017-04-06 13:10:21,4604,camera_11_unnested/2017-04-06T13:10:21.jpg
feuille,937,503,144,127,1920,1080,2017-04-06T13:10:26.jpg,2017-04-06 13:10:26,4605,camera_11_unnested/2017-04-06T13:10:26.jpg
feuille,943,489,121,99,1920,1080,2017-04-06T13:10:27.jpg,2017-04-06 13:10:27,4605,camera_11_unnested/2017-04-06T13:10:27.jpg
feuille,960,478,110,135,1920,1080,2017-04-06T13:10:28.jpg,2017-04-06 13:10:28,4605,camera_11_unnested/2017-04-06T13:10:28.jpg
feuille,943,472,127,90,1920,1080,2017-04-06T13:10:29.jpg,2017-04-06 13:10:29,4605,camera_11_unnested/2017-04-06T13:10:29.jpg
feuille,1678,461,56,65,1920,1080,2017-04-06T13:10:32.jpg,2017-04-06 13:10:32,4605,camera_11_unnested/2017-04-06T13:10:32.jpg
feuille,245,517,87,104,1920,1080,2017-04-06T13:10:32.jpg,2017-04-06 13:10:32,4605,camera_11_unnested/2017-04-06T13:10:32.jpg
feuille,1675,458,56,65,1920,1080,2017-04-06T13:10:33.jpg,2017-04-06 13:10:33,4605,camera_11_unnested/2017-04-06T13:10:33.jpg
feuille,267,512,79,113,1920,1080,2017-04-06T13:10:52.jpg,2017-04-06 13:10:52,4606,camera_11_unnested/2017-04-06T13:10:52.jpg
feuille,262,487,70,163,1920,1080,2017-04-06T13:10:53.jpg,2017-04-06 13:10:53,4606,camera_11_unnested/2017-04-06T13:10:53.jpg
feuille,391,278,79,135,1920,1080,2017-04-06T13:10:57.jpg,2017-04-06 13:10:57,4606,camera_11_unnested/2017-04-06T13:10:57.jpg
feuille,386,287,110,127,1920,1080,2017-04-06T13:10:58.jpg,2017-04-06 13:10:58,4606,camera_11_unnested/2017-04-06T13:10:58.jpg
feuille,408,278,68,127,1920,1080,2017-04-06T13:10:59.jpg,2017-04-06 13:10:59,4606,camera_11_unnested/2017-04-06T13:10:59.jpg
feuille,1686,546,87,76,1920,1080,2017-04-06T13:10:59.jpg,2017-04-06 13:10:59,4606,camera_11_unnested/2017-04-06T13:10:59.jpg
feuille,845,334,163,121,1920,1080,2017-04-06T13:10:59.jpg,2017-04-06 13:10:59,4606,camera_11_unnested/2017-04-06T13:10:59.jpg
feuille,828,410,101,130,1920,1080,2017-04-06T19:37:10.jpg,2017-04-06 19:37:10,4829,camera_11_unnested/2017-04-06T19:37:10.jpg
feuille,825,405,121,138,1920,1080,2017-04-06T19:37:11.jpg,2017-04-06 19:37:11,4829,camera_11_unnested/2017-04-06T19:37:11.jpg
feuille,845,402,79,138,1920,1080,2017-04-06T19:37:12.jpg,2017-04-06 19:37:12,4829,camera_11_unnested/2017-04-06T19:37:12.jpg
feuille,833,408,90,121,1920,1080,2017-04-06T19:37:13.jpg,2017-04-06 19:37:13,4829,camera_11_unnested/2017-04-06T19:37:13.jpg
feuille,847,410,76,124,1920,1080,2017-04-06T19:37:14.jpg,2017-04-06 19:37:14,4829,camera_11_unnested/2017-04-06T19:37:14.jpg
feuille,839,413,99,115,1920,1080,2017-04-06T19:39:12.jpg,2017-04-06 19:39:12,4830,camera_11_unnested/2017-04-06T19:39:12.jpg
feuille,864,416,79,121,1920,1080,2017-04-06T19:39:13.jpg,2017-04-06 19:39:13,4830,camera_11_unnested/2017-04-06T19:39:13.jpg
insect,507,239,25,20,1920,1080,2017-04-06T19:39:13.jpg,2017-04-06 19:39:13,4830,camera_11_unnested/2017-04-06T19:39:13.jpg
feuille,850,408,84,115,1920,1080,2017-04-06T19:39:14.jpg,2017-04-06 19:39:14,4830,camera_11_unnested/2017-04-06T19:39:14.jpg
insect,507,230,25,28,1920,1080,2017-04-06T19:39:14.jpg,2017-04-06 19:39:14,4830,camera_11_unnested/2017-04-06T19:39:14.jpg
feuille,859,410,82,115,1920,1080,2017-04-06T19:39:15.jpg,2017-04-06 19:39:15,4830,camera_11_unnested/2017-04-06T19:39:15.jpg
insect,501,225,31,37,1920,1080,2017-04-06T19:39:15.jpg,2017-04-06 19:39:15,4830,camera_11_unnested/2017-04-06T19:39:15.jpg
feuille,850,413,96,115,1920,1080,2017-04-06T19:39:16.jpg,2017-04-06 19:39:16,4830,camera_11_unnested/2017-04-06T19:39:16.jpg
insect,495,236,42,31,1920,1080,2017-04-06T19:39:16.jpg,2017-04-06 19:39:16,4830,camera_11_unnested/2017-04-06T19:39:16.jpg
souris,324,408,96,130,1920,1080,2017-04-06T19:48:01.jpg,2017-04-06 19:48:01,4831,camera_11_unnested/2017-04-06T19:48:01.jpg
feuille,861,399,79,127,1920,1080,2017-04-06T19:48:01.jpg,2017-04-06 19:48:01,4831,camera_11_unnested/2017-04-06T19:48:01.jpg
souris,307,402,121,130,1920,1080,2017-04-06T19:48:02.jpg,2017-04-06 19:48:02,4831,camera_11_unnested/2017-04-06T19:48:02.jpg
feuille,842,422,107,107,1920,1080,2017-04-06T19:48:02.jpg,2017-04-06 19:48:02,4831,camera_11_unnested/2017-04-06T19:48:02.jpg
feuille,856,413,87,113,1920,1080,2017-04-06T19:48:03.jpg,2017-04-06 19:48:03,4831,camera_11_unnested/2017-04-06T19:48:03.jpg
souris,318,425,118,110,1920,1080,2017-04-06T19:48:03.jpg,2017-04-06 19:48:03,4831,camera_11_unnested/2017-04-06T19:48:03.jpg
souris,124,489,84,121,1920,1080,2017-04-06T19:48:04.jpg,2017-04-06 19:48:04,4831,camera_11_unnested/2017-04-06T19:48:04.jpg
feuille,859,416,79,110,1920,1080,2017-04-06T19:48:04.jpg,2017-04-06 19:48:04,4831,camera_11_unnested/2017-04-06T19:48:04.jpg
souris,428,478,149,146,1920,1080,2017-04-06T19:48:05.jpg,2017-04-06 19:48:05,4831,camera_11_unnested/2017-04-06T19:48:05.jpg
feuille,856,405,87,124,1920,1080,2017-04-06T19:48:05.jpg,2017-04-06 19:48:05,4831,camera_11_unnested/2017-04-06T19:48:05.jpg
souris,403,895,121,144,1920,1080,2017-04-06T19:48:06.jpg,2017-04-06 19:48:06,4831,camera_11_unnested/2017-04-06T19:48:06.jpg
feuille,856,408,93,127,1920,1080,2017-04-06T19:48:06.jpg,2017-04-06 19:48:06,4831,camera_11_unnested/2017-04-06T19:48:06.jpg
feuille,864,410,82,127,1920,1080,2017-04-06T19:48:07.jpg,2017-04-06 19:48:07,4831,camera_11_unnested/2017-04-06T19:48:07.jpg
feuille,847,408,99,146,1920,1080,2017-04-06T19:48:08.jpg,2017-04-06 19:48:08,4831,camera_11_unnested/2017-04-06T19:48:08.jpg
feuille,847,419,96,104,1920,1080,2017-04-06T19:48:09.jpg,2017-04-06 19:48:09,4831,camera_11_unnested/2017-04-06T19:48:09.jpg
feuille,850,425,82,107,1920,1080,2017-04-06T19:48:10.jpg,2017-04-06 19:48:10,4831,camera_11_unnested/2017-04-06T19:48:10.jpg
insect,1391,461,20,36,1920,1080,2017-04-01T21:42:30.jpg,2017-04-01 21:42:30,4619,camera_15_unnested/2017-04-01T21:42:30.jpg
insect,1393,432,18,32,1920,1080,2017-04-01T21:42:31.jpg,2017-04-01 21:42:31,4619,camera_15_unnested/2017-04-01T21:42:31.jpg
insect,1383,398,23,36,1920,1080,2017-04-01T21:42:32.jpg,2017-04-01 21:42:32,4619,camera_15_unnested/2017-04-01T21:42:32.jpg
insect,1381,365,24,29,1920,1080,2017-04-01T21:42:33.jpg,2017-04-01 21:42:33,4619,camera_15_unnested/2017-04-01T21:42:33.jpg
insect,1385,340,22,30,1920,1080,2017-04-01T21:42:34.jpg,2017-04-01 21:42:34,4619,camera_15_unnested/2017-04-01T21:42:34.jpg
insect,1385,330,21,17,1920,1080,2017-04-01T21:42:35.jpg,2017-04-01 21:42:35,4619,camera_15_unnested/2017-04-01T21:42:35.jpg
insect,1377,325,29,16,1920,1080,2017-04-01T21:42:36.jpg,2017-04-01 21:42:36,4619,camera_15_unnested/2017-04-01T21:42:36.jpg
insect,704,699,9,8,1920,1080,2017-04-15T10:52:42.jpg,2017-04-15 10:52:42,6052,camera_11_unnested/2017-04-15T10:52:42.jpg
insect,709,721,17,18,1920,1080,2017-04-15T10:52:43.jpg,2017-04-15 10:52:43,6052,camera_11_unnested/2017-04-15T10:52:43.jpg
feuille,1665,407,102,113,1920,1080,2017-04-05T12:00:00.jpg,2017-04-05 12:00:00,4188,camera_11_unnested/2017-04-05T12:00:00.jpg
feuille,1770,339,65,88,1920,1080,2017-04-05T12:00:00.jpg,2017-04-05 12:00:00,4188,camera_11_unnested/2017-04-05T12:00:00.jpg
feuille,1489,282,77,79,1920,1080,2017-04-05T12:09:33.jpg,2017-04-05 12:09:33,4194,camera_11_unnested/2017-04-05T12:09:33.jpg
feuille,1673,404,139,136,1920,1080,2017-04-05T12:09:33.jpg,2017-04-05 12:09:33,4194,camera_11_unnested/2017-04-05T12:09:33.jpg
feuille,1761,330,85,108,1920,1080,2017-04-05T12:09:33.jpg,2017-04-05 12:09:33,4194,camera_11_unnested/2017-04-05T12:09:33.jpg
feuille,1804,483,37,57,1920,1080,2017-04-05T12:10:05.jpg,2017-04-05 12:10:05,4195,camera_11_unnested/2017-04-05T12:10:05.jpg
feuille,1798,500,51,74,1920,1080,2017-04-05T12:18:01.jpg,2017-04-05 12:18:01,4196,camera_11_unnested/2017-04-05T12:18:01.jpg
feuille,1617,316,48,54,1920,1080,2017-04-05T12:18:01.jpg,2017-04-05 12:18:01,4196,camera_11_unnested/2017-04-05T12:18:01.jpg
feuille,842,534,88,79,1920,1080,2017-04-05T12:28:17.jpg,2017-04-05 12:28:17,4200,camera_11_unnested/2017-04-05T12:28:17.jpg
feuille,638,341,167,218,1920,1080,2017-04-05T12:28:36.jpg,2017-04-05 12:28:36,4201,camera_11_unnested/2017-04-05T12:28:36.jpg
feuille,783,367,153,241,1920,1080,2017-04-05T12:42:52.jpg,2017-04-05 12:42:52,4210,camera_11_unnested/2017-04-05T12:42:52.jpg
insect,472,522,14,19,1920,1080,2017-04-15T04:26:02.jpg,2017-04-15 04:26:02,6044,camera_11_unnested/2017-04-15T04:26:02.jpg
insect,474,565,14,27,1920,1080,2017-04-15T04:26:03.jpg,2017-04-15 04:26:03,6044,camera_11_unnested/2017-04-15T04:26:03.jpg
insect,471,575,17,20,1920,1080,2017-04-15T04:26:04.jpg,2017-04-15 04:26:04,6044,camera_11_unnested/2017-04-15T04:26:04.jpg
insect,467,575,24,20,1920,1080,2017-04-15T04:26:05.jpg,2017-04-15 04:26:05,6044,camera_11_unnested/2017-04-15T04:26:05.jpg
feuille,1634,324,85,102,1920,1080,2017-04-05T13:12:51.jpg,2017-04-05 13:12:51,4224,camera_11_unnested/2017-04-05T13:12:51.jpg
feuille,1704,424,102,82,1920,1080,2017-04-05T13:12:51.jpg,2017-04-05 13:12:51,4224,camera_11_unnested/2017-04-05T13:12:51.jpg
feuille,1756,327,77,111,1920,1080,2017-04-05T13:12:51.jpg,2017-04-05 13:12:51,4224,camera_11_unnested/2017-04-05T13:12:51.jpg
feuille,1614,319,113,108,1920,1080,2017-04-05T13:12:52.jpg,2017-04-05 13:12:52,4224,camera_11_unnested/2017-04-05T13:12:52.jpg
feuille,1713,435,96,68,1920,1080,2017-04-05T13:12:52.jpg,2017-04-05 13:12:52,4224,camera_11_unnested/2017-04-05T13:12:52.jpg
feuille,1761,324,74,116,1920,1080,2017-04-05T13:12:52.jpg,2017-04-05 13:12:52,4224,camera_11_unnested/2017-04-05T13:12:52.jpg
feuille,1617,310,125,125,1920,1080,2017-04-05T13:12:53.jpg,2017-04-05 13:12:53,4224,camera_11_unnested/2017-04-05T13:12:53.jpg
feuille,1696,427,99,74,1920,1080,2017-04-05T13:12:53.jpg,2017-04-05 13:12:53,4224,camera_11_unnested/2017-04-05T13:12:53.jpg
feuille,1756,330,94,113,1920,1080,2017-04-05T13:12:53.jpg,2017-04-05 13:12:53,4224,camera_11_unnested/2017-04-05T13:12:53.jpg
feuille,1619,307,105,128,1920,1080,2017-04-05T13:12:54.jpg,2017-04-05 13:12:54,4224,camera_11_unnested/2017-04-05T13:12:54.jpg
feuille,1707,429,99,79,1920,1080,2017-04-05T13:12:54.jpg,2017-04-05 13:12:54,4224,camera_11_unnested/2017-04-05T13:12:54.jpg
feuille,1756,324,77,108,1920,1080,2017-04-05T13:12:54.jpg,2017-04-05 13:12:54,4224,camera_11_unnested/2017-04-05T13:12:54.jpg
feuille,1690,554,91,159,1920,1080,2017-04-05T13:12:54.jpg,2017-04-05 13:12:54,4224,camera_11_unnested/2017-04-05T13:12:54.jpg
feuille,1333,427,65,57,1920,1080,2017-04-05T13:21:19.jpg,2017-04-05 13:21:19,4226,camera_11_unnested/2017-04-05T13:21:19.jpg
feuille,1622,310,105,130,1920,1080,2017-04-05T13:21:19.jpg,2017-04-05 13:21:19,4226,camera_11_unnested/2017-04-05T13:21:19.jpg
feuille,1702,435,79,74,1920,1080,2017-04-05T13:21:19.jpg,2017-04-05 13:21:19,4226,camera_11_unnested/2017-04-05T13:21:19.jpg
feuille,1761,324,77,113,1920,1080,2017-04-05T13:21:19.jpg,2017-04-05 13:21:19,4226,camera_11_unnested/2017-04-05T13:21:19.jpg
insect,1380,366,13,21,1920,1080,2017-04-01T05:39:30.jpg,2017-04-01 05:39:30,4598,camera_15_unnested/2017-04-01T05:39:30.jpg
insect,1381,363,11,17,1920,1080,2017-04-01T05:39:31.jpg,2017-04-01 05:39:31,4598,camera_15_unnested/2017-04-01T05:39:31.jpg
insect,1378,357,14,15,1920,1080,2017-04-01T05:39:32.jpg,2017-04-01 05:39:32,4598,camera_15_unnested/2017-04-01T05:39:32.jpg
insect,1378,347,12,15,1920,1080,2017-04-01T05:39:33.jpg,2017-04-01 05:39:33,4598,camera_15_unnested/2017-04-01T05:39:33.jpg
insect,1378,338,12,20,1920,1080,2017-04-01T05:39:34.jpg,2017-04-01 05:39:34,4598,camera_15_unnested/2017-04-01T05:39:34.jpg
grenouille,549,232,183,270,1920,1080,2017-03-09T20:28:06.jpg,2017-03-09 20:28:06,469,camera_06_unnested/2017-03-09T20:28:06.jpg
grenouille,588,130,177,220,1920,1080,2017-03-09T20:28:07.jpg,2017-03-09 20:28:07,469,camera_06_unnested/2017-03-09T20:28:07.jpg
grenouille,591,144,163,180,1920,1080,2017-03-09T20:28:08.jpg,2017-03-09 20:28:08,469,camera_06_unnested/2017-03-09T20:28:08.jpg
grenouille,588,136,166,189,1920,1080,2017-03-09T20:28:09.jpg,2017-03-09 20:28:09,469,camera_06_unnested/2017-03-09T20:28:09.jpg
grenouille,588,133,152,189,1920,1080,2017-03-09T20:28:10.jpg,2017-03-09 20:28:10,469,camera_06_unnested/2017-03-09T20:28:10.jpg
grenouille,591,142,158,186,1920,1080,2017-03-09T20:28:11.jpg,2017-03-09 20:28:11,469,camera_06_unnested/2017-03-09T20:28:11.jpg
souris,380,441,101,146,1920,1080,2017-04-06T04:58:29.jpg,2017-04-06 04:58:29,4422,camera_11_unnested/2017-04-06T04:58:29.jpg
feuille,752,337,82,70,1920,1080,2017-04-06T04:58:29.jpg,2017-04-06 04:58:29,4422,camera_11_unnested/2017-04-06T04:58:29.jpg
souris,386,425,96,183,1920,1080,2017-04-06T04:58:30.jpg,2017-04-06 04:58:30,4422,camera_11_unnested/2017-04-06T04:58:30.jpg
feuille,718,318,130,99,1920,1080,2017-04-06T04:58:30.jpg,2017-04-06 04:58:30,4422,camera_11_unnested/2017-04-06T04:58:30.jpg
souris,408,588,99,265,1920,1080,2017-04-06T04:58:31.jpg,2017-04-06 04:58:31,4422,camera_11_unnested/2017-04-06T04:58:31.jpg
